
NOTICE: Existing SQLite export found: topk_profile.sqlite
        It is assumed file was previously exported from: topk_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [topk_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.5.1/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)               Name             
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ------------------------------
     66.9      24173629525    3856410     6268.4     4096.0      1806  27725405      55206.2  cudaLaunchKernel              
     20.9       7538027557      24252   310820.9   181791.0      4884   5574291     319188.3  cudaMemcpy                    
      5.7       2076850160      48509    42813.7     8950.0       974   1035011      86883.6  cudaFree                      
      2.4        849191360     145584     5833.0     3517.0      1524   2275778      45660.1  cudaMemcpyAsync               
      1.7        611722276      72000     8496.1     3340.0      1228   3758423      75208.2  cudaEventRecord               
      1.3        453156423      36000    12587.7      434.0       272   4321807      73212.7  cudaEventSynchronize          
      0.8        306208116      48510     6312.3     2436.0      1309   4473519      39064.2  cudaMalloc                    
      0.1         53063557         72   736993.8     5075.0      2084   6762574    1686650.2  cudaDeviceSynchronize         
      0.1         28499172      72000      395.8      346.0       249    312735       1918.5  cudaEventCreate               
      0.1         27857549      72000      386.9      256.0       206    413577       5025.1  cudaEventDestroy              
      0.0          6798233         12   566519.4   567335.5     96513   1256688     354267.1  cuLibraryUnload               
      0.0          3674330          1  3674330.0  3674330.0   3674330   3674330          0.0  cudaStreamCreate              
      0.0          3533576         36    98154.9    24757.5      9142    702254     165364.0  cudaStreamSynchronize         
      0.0          2165476         40    54136.9     1125.0       202   2120494     335098.6  cudaStreamIsCapturing_v10000  
      0.0           850805          1   850805.0   850805.0    850805    850805          0.0  cudaHostAlloc                 
      0.0             6125          2     3062.5     3062.5      1939      4186       1588.9  cudaGetDeviceProperties_v12000
      0.0             5372          1     5372.0     5372.0      5372      5372          0.0  cudaStreamDestroy             
      0.0              604          1      604.0      604.0       604       604          0.0  cuModuleGetLoadingMode        

