Generating SQLite file topk_profile_infi_bench.sqlite from topk_profile_infi_bench.nsys-rep
Processing [topk_profile_infi_bench.sqlite] with [/opt/nvidia/nsight-systems/2025.5.1/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)               Name             
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ------------------------------
     72.2       1078237219     214227    5033.2    4302.0      1897  23829474      51814.1  cudaLaunchKernel              
     18.5        275955896       2021  136544.2   34484.0      4960    917579     207761.0  cudaMemcpy                    
      5.3         79239947       4047   19579.9    4883.0       835   1325616      29111.4  cudaFree                      
      2.4         35587991       8084    4402.3    3606.0      1595    207893       5287.0  cudaMemcpyAsync               
      0.9         13361273       4048    3300.7    1737.0      1147   1099459      21603.9  cudaMalloc                    
      0.6          9037771       2000    4518.9    3515.0      1771    399417      12166.3  cudaEventRecord               
      0.1           831734       2000     415.9     297.0       275    129486       2897.1  cudaEventCreate               
      0.0           523689       2000     261.8     250.0       226      1716         43.4  cudaEventDestroy              
      0.0           326937          1  326937.0  326937.0    326937    326937          0.0  cuLibraryUnload               
      0.0           302747       1000     302.7     292.0       221      4717        181.7  cudaEventSynchronize          
      0.0            17935          1   17935.0   17935.0     17935     17935          0.0  cudaStreamCreate              
      0.0            10179          6    1696.5    1263.5       238      3698       1591.3  cudaStreamIsCapturing_v10000  
      0.0             6852          1    6852.0    6852.0      6852      6852          0.0  cudaStreamDestroy             
      0.0             6460          2    3230.0    3230.0      2153      4307       1523.1  cudaGetDeviceProperties_v12000
      0.0             4590          2    2295.0    2295.0      2234      2356         86.3  cudaDeviceSynchronize         
      0.0              564          1     564.0     564.0       564       564          0.0  cuModuleGetLoadingMode        

