
NOTICE: Existing SQLite export found: topk_profile.sqlite
        It is assumed file was previously exported from: topk_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [topk_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     31.7       1701801370    1164096    1461.9    1440.0      1375     30239        183.6  void op::topk::cuda::partition_rowwise<(unsigned long)256>(const unsigned int *, int *, unsigned in…
     30.0       1610788895    1164096    1383.7    1376.0      1280      6367         67.7  void op::topk::cuda::decide_and_compact<(unsigned long)256>(unsigned int *, int *, const unsigned i…
     17.3        928189922    1164096     797.3     800.0       736      2560         15.2  op::topk::cuda::zero_row_counters(int *, int *, unsigned long)                                      
      5.7        306587258      72756    4213.9    4160.0      4063      6112        123.0  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      4.5        244453480      36378    6719.8    7103.0      5855     12960        818.4  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      1.9        103093697      24252    4250.9    4224.0      4095      5568        115.7  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      1.5         81921764      12126    6755.9    7200.0      5919     12927        816.9  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      0.9         46157517      36378    1268.8    1280.0      1183      1472         45.3  void op::topk::cuda::take_remaining<(unsigned long)256>(const unsigned int *, const int *, const in…
      0.8         41344675      12126    3409.6    3456.0      3039      4320        167.0  void at::native::sbtopk::gatherTopK<float, unsigned int, (int)2, (bool)0>(at::cuda::detail::TensorI…
      0.8         41213016      12126    3398.7    3392.0      3135      4352        132.2  void at::native::sbtopk::gatherTopK<c10::BFloat16, unsigned int, (int)2, (bool)0>(at::cuda::detail:…
