Generating SQLite file topk_profile_cmp.sqlite from topk_profile_cmp.nsys-rep
Processing [topk_profile_cmp.sqlite] with [/opt/nvidia/nsight-systems/2025.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     29.1         98896952      64672    1529.2    1536.0      1439     17631         91.6  void op::topk::cuda::partition_rowwise<(unsigned long)256>(const unsigned int *, int *, unsigned in…
     28.2         96121449      64672    1486.3    1408.0      1375      1824        114.3  void op::topk::cuda::decide_and_compact<(unsigned long)256>(unsigned int *, int *, const unsigned i…
     15.7         53319356      64672     824.5     800.0       767       928         31.7  op::topk::cuda::zero_row_counters(int *, int *, unsigned long)                                      
     10.6         36011025       8084    4454.6    4320.0      4255      4992        189.0  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      8.2         27912140       4042    6905.5    6928.0      6079     13439        700.4  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      2.6          8882473       2021    4395.1    4384.0      4383      4672         17.4  void at::native::sbtopk::gatherTopK<float, unsigned int, (int)2, (bool)0>(at::cuda::detail::TensorI…
      2.3          7737839       2021    3828.7    3840.0      3807      4000         16.7  void at::native::bitonicSortKVInPlace<(int)2, (int)-1, (int)16, (int)16, float, long, at::native::G…
      1.2          3918919       2021    1939.1    1888.0      1856      2112         68.9  void op::topk::cuda::scatter_to_output<float>(const T1 *, const int *, T1 *, int *, unsigned long, …
      0.9          2965316       2021    1467.3    1440.0      1407      1664         54.6  void op::topk::cuda::gather_rowwise<float>(const T1 *, unsigned int *, int *, unsigned long, unsign…
      0.8          2714841       2021    1343.3    1312.0      1279      1440         48.5  void op::topk::cuda::take_remaining<(unsigned long)256>(const unsigned int *, const int *, const in…
      0.5          1771929       2021     876.8     864.0       831      1280         34.3  op::topk::cuda::init_row_state(int *, int *, int *, unsigned long, unsigned long, unsigned long)    
      0.0             4384          2    2192.0    2192.0      2112      2272        113.1  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrappe…
      0.0             3104          3    1034.7    1024.0      1024      1056         18.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, at::detail::A…
      0.0             2560          1    2560.0    2560.0      2560      2560          0.0  void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<long, long, bool, at::native…
      0.0             2112          2    1056.0    1056.0      1056      1056          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool…
      0.0             1472          1    1472.0    1472.0      1472      1472          0.0  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…
      0.0             1088          1    1088.0    1088.0      1088      1088          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::CompareFunctor<float>…
      0.0             1088          1    1088.0    1088.0      1088      1088          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::deta…
      0.0             1056          1    1056.0    1056.0      1056      1056          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool…
      0.0             1056          1    1056.0    1056.0      1056      1056          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      0.0             1024          1    1024.0    1024.0      1024      1024          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, …
      0.0             1024          1    1024.0    1024.0      1024      1024          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, …
      0.0             1024          1    1024.0    1024.0      1024      1024          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, …
      0.0             1024          1    1024.0    1024.0      1024      1024          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at…
      0.0              896          1     896.0     896.0       896       896          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::…
      0.0              896          1     896.0     896.0       896       896          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, at::detail::Ar…

