Generating SQLite file topk_profile_debug.sqlite from topk_profile_debug.nsys-rep
Processing [topk_profile_debug.sqlite] with [/opt/nvidia/nsight-systems/2025.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     19.6            51454         32    1607.9    1600.0      1567      1696         42.3  void op::topk::cuda::partition_rowwise<(unsigned long)256>(const unsigned int *, int *, unsigned in…
     19.3            50495         32    1578.0    1504.0      1472      1792        117.3  void op::topk::cuda::decide_and_compact<(unsigned long)256>(unsigned int *, int *, const unsigned i…
     10.7            27967         32     874.0     864.0       864       896         15.0  op::topk::cuda::zero_row_counters(int *, int *, unsigned long)                                      
      7.1            18688          4    4672.0    4656.0      4640      4736         45.3  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      5.7            14879          2    7439.5    7439.5      6624      8255       1153.3  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      2.4             6272          3    2090.7    2112.0      1856      2304        224.8  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      2.2             5664          3    1888.0    1856.0      1824      1984         84.7  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      2.0             5216          5    1043.2    1056.0      1024      1056         17.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, …
      2.0             5184          2    2592.0    2592.0      2464      2720        181.0  void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<long>, at::detail::Array<c…
      2.0             5120          1    5120.0    5120.0      5120      5120          0.0  void at::native::sbtopk::gatherTopK<float, unsigned int, (int)2, (bool)0>(at::cuda::detail::TensorI…
      2.0             5120          5    1024.0    1024.0      1024      1024          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, at::detail::A…
      1.7             4480          2    2240.0    2240.0      2144      2336        135.8  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrappe…
