Generating SQLite file topk_profile_debug3.sqlite from topk_profile_debug3.nsys-rep
Processing [topk_profile_debug3.sqlite] with [/opt/nvidia/nsight-systems/2025.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     19.6            51390         32    1605.9    1584.0      1536      1696         46.2  void op::topk::cuda::partition_rowwise<(unsigned long)256>(const unsigned int *, int *, unsigned in…
     19.2            50175         32    1568.0    1504.0      1472      1760        114.0  void op::topk::cuda::decide_and_compact<(unsigned long)256>(unsigned int *, int *, const unsigned i…
     10.6            27805         32     868.9     864.0       863       896         11.8  op::topk::cuda::zero_row_counters(int *, int *, unsigned long)                                      
      7.2            18783          4    4695.8    4656.0      4640      4831         91.4  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      5.7            14911          2    7455.5    7455.5      6656      8255       1130.7  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      2.4             6304          3    2101.3    2144.0      1856      2304        227.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      2.2             5696          3    1898.7    1856.0      1856      1984         73.9  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      2.0             5184          2    2592.0    2592.0      2464      2720        181.0  void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<long>, at::detail::Array<c…
      2.0             5152          5    1030.4    1024.0      1024      1056         14.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, at::detail::A…
      2.0             5152          5    1030.4    1024.0      1024      1056         14.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, …
      1.8             4768          1    4768.0    4768.0      4768      4768          0.0  void at::native::sbtopk::gatherTopK<float, unsigned int, (int)2, (bool)0>(at::cuda::detail::TensorI…
      1.7             4480          2    2240.0    2240.0      2048      2432        271.5  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrappe…
      1.6             4288          4    1072.0    1056.0      1024      1152         55.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool…
      1.6             4192          2    2096.0    2096.0      1984      2208        158.4  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrappe…
      1.6             4096          1    4096.0    4096.0      4096      4096          0.0  void at::native::bitonicSortKVInPlace<(int)2, (int)-1, (int)16, (int)16, float, long, at::native::G…
      1.5             3968          2    1984.0    1984.0      1920      2048         90.5  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrappe…
      1.4             3552          2    1776.0    1776.0      1760      1792         22.6  void at_cuda_detail::cub::DeviceSelectSweepKernel<at_cuda_detail::cub::detail::device_select_policy…
      1.3             3392          2    1696.0    1696.0      1696      1696          0.0  void at_cuda_detail::cub::DeviceReduceSingleTileKernel<at_cuda_detail::cub::DeviceReducePolicy<int,…
      1.2             3200          3    1066.7    1056.0      1056      1088         18.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, at::deta…
      1.0             2560          1    2560.0    2560.0      2560      2560          0.0  void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<long, long, bool, at::native…
      0.8             2176          2    1088.0    1088.0      1088      1088          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::CompareFunctor<float>…
      0.8             2144          1    2144.0    2144.0      2144      2144          0.0  void op::topk::cuda::scatter_to_output<float>(const T1 *, const int *, T1 *, int *, unsigned long, …
      0.8             2144          2    1072.0    1072.0      1056      1088         22.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<long>, at::detail::Ar…
      0.8             2112          2    1056.0    1056.0      1056      1056          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      0.8             2080          2    1040.0    1040.0      1024      1056         22.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, at…
      0.7             1952          1    1952.0    1952.0      1952      1952          0.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<int, at::native::func_wrapper…
      0.7             1952          1    1952.0    1952.0      1952      1952          0.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<int, at::native::func_wrapper…
