
NOTICE: Existing SQLite export found: topk_profile_infi_bench.sqlite
        It is assumed file was previously exported from: topk_profile_infi_bench.nsys-rep
        Consider using --force-export=true if needed.

Processing [topk_profile_infi_bench.sqlite] with [/opt/nvidia/nsight-systems/2025.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     30.4         99045645      64672    1531.5    1536.0      1376      1792         84.6  void op::topk::cuda::partition_rowwise<(unsigned long)256>(const unsigned int *, int *, unsigned in…
     30.1         98031137      64672    1515.8    1504.0      1311      1792        131.3  void op::topk::cuda::decide_and_compact<(unsigned long)256>(unsigned int *, int *, const unsigned i…
     16.3         53297808      64672     824.1     800.0       767      1120         41.0  op::topk::cuda::zero_row_counters(int *, int *, unsigned long)                                      
     11.1         36315294       8084    4492.2    4480.0      4159      5023        250.1  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      8.6         27965110       4042    6918.6    6832.0      5951      8384        721.6  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      1.2          3905145       2021    1932.3    1856.0      1823      2112         93.6  void op::topk::cuda::scatter_to_output<float>(const T1 *, const int *, T1 *, int *, unsigned long, …
      0.9          2991994       2021    1480.5    1440.0      1376      1568         71.3  void op::topk::cuda::gather_rowwise<float>(const T1 *, unsigned int *, int *, unsigned long, unsign…
      0.8          2682218       2021    1327.2    1280.0      1247      1440         64.0  void op::topk::cuda::take_remaining<(unsigned long)256>(const unsigned int *, const int *, const in…
      0.5          1772005       2021     876.8     864.0       831      1152         43.3  op::topk::cuda::init_row_state(int *, int *, int *, unsigned long, unsigned long, unsigned long)    
      0.0             1472          1    1472.0    1472.0      1472      1472          0.0  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…

