
NOTICE: Existing SQLite export found: topk_profile_infi_debug.sqlite
        It is assumed file was previously exported from: topk_profile_infi_debug.nsys-rep
        Consider using --force-export=true if needed.

Processing [topk_profile_infi_debug.sqlite] with [/opt/nvidia/nsight-systems/2025.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     30.2            51807         32    1619.0    1600.0      1568      1696         47.3  void op::topk::cuda::partition_rowwise<(unsigned long)256>(const unsigned int *, int *, unsigned in…
     29.6            50879         32    1590.0    1504.0      1472      1792        115.9  void op::topk::cuda::decide_and_compact<(unsigned long)256>(unsigned int *, int *, const unsigned i…
     16.1            27709         32     865.9     864.0       832       896         11.3  op::topk::cuda::zero_row_counters(int *, int *, unsigned long)                                      
     10.9            18688          4    4672.0    4656.0      4640      4736         45.3  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      8.6            14847          2    7423.5    7423.5      6624      8223       1130.7  void cub::CUB_200301_890_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_890_NS::DeviceRadixSort…
      1.2             2079          1    2079.0    2079.0      2079      2079          0.0  void op::topk::cuda::scatter_to_output<float>(const T1 *, const int *, T1 *, int *, unsigned long, …
      0.9             1568          1    1568.0    1568.0      1568      1568          0.0  void op::topk::cuda::gather_rowwise<float>(const T1 *, unsigned int *, int *, unsigned long, unsign…
      0.9             1536          1    1536.0    1536.0      1536      1536          0.0  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…
      0.8             1440          1    1440.0    1440.0      1440      1440          0.0  void op::topk::cuda::take_remaining<(unsigned long)256>(const unsigned int *, const int *, const in…
      0.7             1184          1    1184.0    1184.0      1184      1184          0.0  op::topk::cuda::init_row_state(int *, int *, int *, unsigned long, unsigned long, unsigned long)    

